"subject","activity","angle.Y.gravityMean.","angle.Z.gravityMean."
17,"WALKING",0.207186541803279,0.155074008229508
17,"WALKING_UPSTAIRS",0.279992530833333,0.23325887375
17,"WALKING_DOWNSTAIRS",0.18768213,0.135724922673913
17,"SITTING",0.085758277453125,0.117860678351562
17,"STANDING",0.260217512307692,0.164226520641026
17,"LAYING",-0.426235558450704,-0.555002876901408
18,"WALKING",0.258089346428571,0.0647930851785714
18,"WALKING_UPSTAIRS",0.302327241896552,0.0969887787413793
18,"WALKING_DOWNSTAIRS",0.238556966545455,0.0564579905272727
18,"SITTING",-0.00746888583912281,-0.092884205877193
18,"STANDING",0.223141827534247,0.0557066927123288
18,"LAYING",-0.512391751230769,-0.463402676923077
19,"WALKING",0.23758545,0.0847615795576923
19,"WALKING_UPSTAIRS",0.3529176155,0.1793526235
19,"WALKING_DOWNSTAIRS",0.236000626923077,0.114011882
19,"SITTING",-0.176317791671233,-0.348064872739726
19,"STANDING",0.236858175068493,-0.0690773782876712
19,"LAYING",-0.476491760481928,-0.504427518072289
20,"WALKING",0.322447638431373,0.0462280993401961
20,"WALKING_UPSTAIRS",0.42476122745098,0.114237177876471
20,"WALKING_DOWNSTAIRS",0.275497021555556,0.0414395443846667
20,"SITTING",0.0329072161772727,-0.0860447384742424
20,"STANDING",0.295461318356164,-0.0275259507709589
20,"LAYING",-0.656294175441177,-0.331485784264706
21,"WALKING",0.340237707884615,0.176041617115385
21,"WALKING_UPSTAIRS",0.386758519148936,0.241093136595745
21,"WALKING_DOWNSTAIRS",0.331093236666667,0.153317356444444
21,"SITTING",0.0683217701176471,0.0612901141882353
21,"STANDING",0.322136212359551,0.166452878988764
21,"LAYING",-0.364984985222222,-0.613696120222222
22,"WALKING",0.262107576956522,0.0054581015
22,"WALKING_UPSTAIRS",0.317875941428571,0.0891294692238095
22,"WALKING_DOWNSTAIRS",0.238387356388889,-0.00753626194444445
22,"SITTING",-0.0624642647935484,-0.2051951285
22,"STANDING",0.238437296507937,-0.000765151707936508
22,"LAYING",-0.399009865138889,-0.603348695833333
23,"WALKING",0.194885322372881,0.134716005084746
23,"WALKING_UPSTAIRS",0.232358364313726,0.277962284705882
23,"WALKING_DOWNSTAIRS",0.160335424259259,0.131746438444444
23,"SITTING",-2.2258617647059e-05,-0.0230392130294118
23,"STANDING",0.164030936176471,0.180098972514706
23,"LAYING",-0.232646383194444,-0.781769061527778
24,"WALKING",0.162412044137931,0.120121440172414
24,"WALKING_UPSTAIRS",0.247122399830508,0.181479912372881
24,"WALKING_DOWNSTAIRS",0.171762154727273,0.1200578956
24,"SITTING",-0.0426557026279412,-0.0558413695220588
24,"STANDING",0.182908385362319,0.0586753424246377
24,"LAYING",-0.494414754583333,-0.505943181111111
25,"WALKING",0.170914295810811,-0.111244249918919
25,"WALKING_UPSTAIRS",0.233730368,-0.0545542417876923
25,"WALKING_DOWNSTAIRS",0.133510786896552,-0.133506944172414
25,"SITTING",-0.0645664581230769,-0.0984975363846154
25,"STANDING",0.192584861621622,-0.120205382366216
25,"LAYING",-0.452959325273973,-0.416502209109589
26,"WALKING",0.175450599830508,-0.054232685440678
26,"WALKING_UPSTAIRS",0.253034782909091,0.0231785948890909
26,"WALKING_DOWNSTAIRS",0.1388694382,-0.0868762146
26,"SITTING",-0.0779302425448718,-0.207419646512821
26,"STANDING",0.179639743783784,-0.0398428929606757
26,"LAYING",-0.557477087236842,-0.438577144736842
27,"WALKING",0.21187518122807,0.110064619157895
27,"WALKING_UPSTAIRS",0.241188973137255,0.232688028039216
27,"WALKING_DOWNSTAIRS",0.198441892954545,0.121082833318182
27,"SITTING",-0.0662284828,-0.178206664085714
27,"STANDING",0.212369686125,0.025601368792625
27,"LAYING",-0.335722056216216,-0.67651559527027
28,"WALKING",0.240524462592593,0.1093028185
28,"WALKING_UPSTAIRS",0.314725065882353,0.209000813137255
28,"WALKING_DOWNSTAIRS",0.246322557391304,0.106981081586957
28,"SITTING",0.160675070619306,-0.0763153267916667
28,"STANDING",0.252996898481013,0.0484423398708861
28,"LAYING",-0.02646734825,0.050311426875
29,"WALKING",0.170953057735849,-0.0450589469735849
29,"WALKING_UPSTAIRS",0.241437145306122,-0.00950628416938775
29,"WALKING_DOWNSTAIRS",0.136459860416667,-0.0434252902375
29,"SITTING",-0.0233932289533333,-0.181737384166667
29,"STANDING",0.123792900830769,-0.000327698463076923
29,"LAYING",-0.573422049130435,-0.423473279130435
30,"WALKING",0.191625551538462,0.0244499703709231
30,"WALKING_UPSTAIRS",0.240975413230769,0.0373906500215385
30,"WALKING_DOWNSTAIRS",0.170911323870968,0.00139127310645161
30,"SITTING",0.00103946516129032,-0.227534606129032
30,"STANDING",0.152285940677966,0.00469988878042373
30,"LAYING",-0.492287025857143,-0.507019938285714
